book,sheet,county,party,candidate,votes
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,Carly Fiorina,13
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,Carly Fiorina,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,Carly Fiorina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,Carly Fiorina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,Carly Fiorina,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,Carly Fiorina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,Carly Fiorina,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,Carly Fiorina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,Carly Fiorina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,Carly Fiorina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,Carly Fiorina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,Carly Fiorina,13
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,Carly Fiorina,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,Carly Fiorina,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,Carly Fiorina,53
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,Lindsey Graham,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,Lindsey Graham,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Lindsey Graham,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Lindsey Graham,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Lindsey Graham,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,Lindsey Graham,9
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,Lindsey Graham,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,Lindsey Graham,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,Lindsey Graham,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,Lindsey Graham,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,Lindsey Graham,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,Lindsey Graham,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,Lindsey Graham,14
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,Mike Huckabee,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,Mike Huckabee,12
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,Mike Huckabee,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,Mike Huckabee,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,Mike Huckabee,15
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,Mike Huckabee,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,Mike Huckabee,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Mike Huckabee,10
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Mike Huckabee,14
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,Mike Huckabee,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,Mike Huckabee,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,Mike Huckabee,29
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,Mike Huckabee,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,Mike Huckabee,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,Mike Huckabee,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,Mike Huckabee,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,Mike Huckabee,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,Mike Huckabee,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,Mike Huckabee,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,Mike Huckabee,21
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,Mike Huckabee,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,Mike Huckabee,24
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,Mike Huckabee,10
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,Mike Huckabee,9
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,Mike Huckabee,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,Mike Huckabee,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,Mike Huckabee,10
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,Mike Huckabee,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,Mike Huckabee,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,Mike Huckabee,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,Mike Huckabee,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,Mike Huckabee,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,Mike Huckabee,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,Mike Huckabee,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,Mike Huckabee,17
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,Mike Huckabee,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,Mike Huckabee,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,Mike Huckabee,70
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,John R. Kasich,64
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,John R. Kasich,494
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,John R. Kasich,92
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,John R. Kasich,80
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,John R. Kasich,304
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,John R. Kasich,358
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,John R. Kasich,142
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,John R. Kasich,587
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,John R. Kasich,1070
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,John R. Kasich,107
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,John R. Kasich,30
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,John R. Kasich,38
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,John R. Kasich,1376
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,John R. Kasich,87
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,John R. Kasich,245
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,John R. Kasich,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,John R. Kasich,89
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,John R. Kasich,91
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,John R. Kasich,209
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,John R. Kasich,127
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,John R. Kasich,155
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,John R. Kasich,159
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,John R. Kasich,133
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,John R. Kasich,266
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,John R. Kasich,189
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,John R. Kasich,185
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,John R. Kasich,1528
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,John R. Kasich,324
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,John R. Kasich,198
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,John R. Kasich,48
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,John R. Kasich,51
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,John R. Kasich,352
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,John R. Kasich,137
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,John R. Kasich,323
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,John R. Kasich,37
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,John R. Kasich,62
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,John R. Kasich,217
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,John R. Kasich,57
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,John R. Kasich,86
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,John R. Kasich,101
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,John R. Kasich,661
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,John R. Kasich,197
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,John R. Kasich,145
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,John R. Kasich,5306
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Peter Messina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Butte,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Camas,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Canyon,REP,Peter Messina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Caribou,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Cassia,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clark,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Clearwater,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Custer,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Elmore,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Franklin,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Fremont,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gem,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Gooding,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Idaho,REP,Peter Messina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jefferson,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Jerome,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Kootenai,REP,Peter Messina,4
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Latah,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lemhi,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lewis,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Lincoln,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Madison,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Minidoka,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Nez Perce,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Oneida,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Owyhee,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Payette,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Power,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Shoshone,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Teton,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Twin Falls,REP,Peter Messina,1
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Valley,REP,Peter Messina,0
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Washington,REP,Peter Messina,3
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Ada,REP,Peter Messina,2
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Adams,REP,Rand Paul,5
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bannock,REP,Rand Paul,21
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bear Lake,REP,Rand Paul,6
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Benewah,REP,Rand Paul,8
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bingham,REP,Rand Paul,22
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Blaine,REP,Rand Paul,7
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boise,REP,Rand Paul,9
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonner,REP,Rand Paul,40
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Bonneville,REP,Rand Paul,59
/home/nacnudus/R/openelections-data-id/xlsx/2016/16Pres_pri_stwd_cnty.xlsx,President,Boundary,REP,Rand Paul,7
